common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common,scientific_name_lower_bl,wiki_status,scientific_name_lower_wiki,inaturalist_id,inaturalist_scientific_name,inaturalist_common_name
Capercaillie,http://app.bto.org/birdfacts/results/bob3350.htm,Tetrao urogallus,Re-introduced Breeder,1000 - 10000 Adults,CP,CAPER,3162.277660168381,tetrao urogallus,,,1026,Tetrao urogallus,Western Capercaillie
Black Grouse,http://app.bto.org/birdfacts/results/bob3320.htm,Lyrurus tetrix,Resident Breeder,1000 - 10000 Males,BK,BLAGR,3162.277660168381,lyrurus tetrix,A resident breeding species,tetrao tetrix,73479,Tetrao tetrix,Black Grouse
Ptarmigan,http://app.bto.org/birdfacts/results/bob3300.htm,Lagopus muta,Resident Breeder,1000 - 10000 Pairs,PM,PTARM,3162.277660168381,lagopus muta,A resident breeding species,lagopus muta,949,Lagopus muta,Rock Ptarmigan
Red Grouse,http://app.bto.org/birdfacts/results/bob3292.htm,Lagopus lagopus,Resident Breeder,100000 - 500000 Pairs,RG,REDGR,223606.7977499789,lagopus lagopus,A resident breeding species,lagopus lagopus scotica,362643,Lagopus lagopus scotica,Red Grouse
Red-legged Partridge,http://app.bto.org/birdfacts/results/bob3580.htm,Alectoris rufa,Introduced Breeder,10000 - 100000 Territories,RL,RELPA,31622.776601683774,alectoris rufa,C resident introduced population,alectoris rufa,867,Alectoris rufa,Red-legged Partridge
Grey Partridge,http://app.bto.org/birdfacts/results/bob3670.htm,Perdix perdix,Resident/Introduced Breeder,10000 - 100000 Territories,P.,GREPA,31622.776601683774,perdix perdix,A & C resident breeder and introduced gamebird,perdix perdix,831,Perdix perdix,Gray Partridge
Quail,http://app.bto.org/birdfacts/results/bob3700.htm,Coturnix coturnix,Migrant Breeder,500 - 1000 Males,Q.,QUAIL,707.1067811865472,coturnix coturnix,,,804,Coturnix coturnix,Common Quail
Pheasant,http://app.bto.org/birdfacts/results/bob3940.htm,Phasianus colchicus,Introduced Breeder,4E06 Birds,PH,PHEAS,4000000.0,phasianus colchicus,,,981,Phasianus colchicus,Ring-necked Pheasant
Golden Pheasant,http://app.bto.org/birdfacts/results/bob3960.htm,Chrysolophus pictus,Introduced Breeder,100-500 Pairs,GF,GOLPH,223.606797749979,chrysolophus pictus,C resident introduced population,chrysolophus pictus,1230,Chrysolophus pictus,Golden Pheasant
Lady Amherst’s Pheasant,http://app.bto.org/birdfacts/results/bob3970.htm,Chrysolophus amherstiae,Introduced Breeder,1-10 Males,LM,LAAPH,3.1622776601683795,chrysolophus amherstiae,,,1231,Chrysolophus amherstiae,Lady Amherst's Pheasant
Brent Goose,http://app.bto.org/birdfacts/results/bob1680.htm,Branta bernicla,Winter Visitor,100000 - 500000 Birds,BG,BREGO,223606.7977499789,branta bernicla,A winter visitor,branta bernicla,7087,Branta bernicla,Brant
Red-breasted Goose,http://app.bto.org/birdfacts/results/bob1690.htm,Branta ruficollis,Accidental,10 - 100 Records,EB,REBGO,31.622776601683803,branta ruficollis,A rare vagrant,branta ruficollis,7102,Branta ruficollis,Red-breasted Goose
Canada Goose,http://app.bto.org/birdfacts/results/bob1660.htm,Branta canadensis,"Introduced Breeder, Accidental",10000 - 100000 Pairs,CG,CANGO,31622.776601683774,branta canadensis,,,7089,Branta canadensis,Canada Goose
Cackling Goose,http://app.bto.org/birdfacts/results/bob1664.htm,Branta hutchinsii,Accidental,10 - 100 Records,LQ,,31.622776601683803,branta hutchinsii,A rare vagrant,branta hutchinsii,59220,Branta hutchinsii,Cackling Goose
Barnacle Goose,http://app.bto.org/birdfacts/results/bob1670.htm,Branta leucopsis,"Escaped Breeder, Winter Visitor",100000 - 500000 Birds,BY,BARGO,223606.7977499789,branta leucopsis,A & C winter visitor and resident introduced population,branta leucopsis,7101,Branta leucopsis,Barnacle Goose
Snow Goose,http://app.bto.org/birdfacts/results/bob1630.htm,Anser caerulescens,Scarce Visitor,10 - 100 Birds,SJ,SNOGO,31.622776601683803,anser caerulescens,"A & C resident introduced population, some wild vagrants",anser caerulescens,558426,Anser caerulescens,Snow Goose
Greylag Goose,http://app.bto.org/birdfacts/results/bob1610.htm,Anser anser,"Introduced/Resident Breeder, Winter Migrant",10000 - 100000 Pairs,GJ,GREGO,31622.776601683774,anser anser,"A & C resident wild and feral populations, winter visitor",anser anser,7018,Anser anser,Greylag Goose
Taiga Bean Goose,http://app.bto.org/birdfacts/results/bob1571.htm,Anser fabalis,Winter Migrant,100-500 Birds,XF,,223.606797749979,anser fabalis,A winter visitor,anser fabalis,7009,Anser fabalis,Taiga Bean Goose
Tundra Bean Goose,http://app.bto.org/birdfacts/results/bob1574.htm,Anser serrirostris,Winter Migrant,100-500 Birds,XR,,223.606797749979,anser serrirostris,A winter visitor,anser serrirostris,144423,Anser serrirostris,Tundra Bean-Goose
Pink-footed Goose,http://app.bto.org/birdfacts/results/bob1580.htm,Anser brachyrhynchus,Winter Migrant,500000 - 1E06 Birds,PG,PIFGO,707106.7811865465,anser brachyrhynchus,A winter visitor,anser brachyrhynchus,7007,Anser brachyrhynchus,Pink-footed Goose
White-fronted Goose,http://app.bto.org/birdfacts/results/bob1590.htm,Anser albifrons,Winter Migrant,10000 - 100000 Birds,WG,WHFGO,31622.776601683774,anser albifrons,,,7019,Anser albifrons,Greater White-fronted Goose
Lesser White-fronted Goose,http://app.bto.org/birdfacts/results/bob1600.htm,Anser erythropus,Accidental,100-500 Records,LC,LWFGO,223.606797749979,anser erythropus,A rare vagrant,anser erythropus,7013,Anser erythropus,Lesser White-fronted Goose
Mute Swan,http://app.bto.org/birdfacts/results/bob1520.htm,Cygnus olor,Resident/Introduced Breeder,1000 - 10000 Pairs,MS,MUTSW,3162.277660168381,cygnus olor,A & C resident breeding species,cygnus olor,6921,Cygnus olor,Mute Swan
Bewick's Swan,http://app.bto.org/birdfacts/results/bob1530.htm,Cygnus columbianus,Winter Migrant,1000 - 10000 Birds,BS,BEWSW,3162.277660168381,cygnus columbianus,,,196538,Cygnus columbianus bewickii,Bewick's Swan
Whooper Swan,http://app.bto.org/birdfacts/results/bob1540.htm,Cygnus cygnus,"Scarce Breeder, Winter Migrant",10000 - 100000 Birds,WS,WHOSW,31622.776601683774,cygnus cygnus,A winter visitor and occasional breeder,cygnus cygnus,6916,Cygnus cygnus,Whooper Swan
Egyptian Goose,http://app.bto.org/birdfacts/results/bob1700.htm,Alopochen aegyptiaca,Introduced Breeder,1000 - 10000 Pairs,EG,EGYGO,3162.277660168381,alopochen aegyptiaca,C resident introduced population,alopochen aegyptiaca,72486,Alopochen aegyptiaca,Egyptian Goose
Shelduck,http://app.bto.org/birdfacts/results/bob1730.htm,Tadorna tadorna,"Migrant/Resident Breeder, Winter Visitor",10000 - 100000 Pairs,SU,SHELD,31622.776601683774,tadorna tadorna,,,7067,Tadorna tadorna,Common Shelduck
Ruddy Shelduck,http://app.bto.org/birdfacts/results/bob1710.htm,Tadorna ferruginea,"Escaped, Former Visitor (Last Record 1946)",1-10 Records,UD,RUDSH,3.1622776601683795,tadorna ferruginea,B Records since 1946 are presumed escapes from captivity,tadorna ferruginea,7068,Tadorna ferruginea,Ruddy Shelduck
Mandarin Duck,http://app.bto.org/birdfacts/results/bob1780.htm,Aix galericulata,Introduced Breeder,1000 - 10000 Pairs,MN,MANDA,3162.277660168381,aix galericulata,C resident introduced population,aix galericulata,7106,Aix galericulata,Mandarin Duck
Baikal Teal,http://app.bto.org/birdfacts/results/bob1830.htm,Sibirionetta formosa,Accidental,1-10 Records,IK,BAITE,3.1622776601683795,sibirionetta formosa,A rare vagrant,sibirionetta formosa,558428,Sibirionetta formosa,Baikal Teal
Garganey,http://app.bto.org/birdfacts/results/bob1910.htm,Spatula querquedula,"Migrant Breeder, Passage Visitor",100-500 Pairs,GY,GARGA,223.606797749979,spatula querquedula,A breeding summer visitor,spatula querquedula,558429,Spatula querquedula,Garganey
Blue-winged Teal,http://app.bto.org/birdfacts/results/bob1920.htm,Spatula discors,Scarce Visitor,100-500 Records,TB,BLWTE,223.606797749979,spatula discors,A rare vagrant,spatula discors,558433,Spatula discors,Blue-winged Teal
Shoveler,http://app.bto.org/birdfacts/results/bob1940.htm,Spatula clypeata,"Migrant Breeder, Passage/Winter Visitor",500 - 1000 Pairs,SV,SHOVE,707.1067811865472,spatula clypeata,,,558438,Spatula clypeata,Northern Shoveler
Gadwall,http://app.bto.org/birdfacts/results/bob1820.htm,Mareca strepera,"Migrant/Resident Breeder, Winter Visitor",1000 - 10000 Pairs,GA,GADWA,3162.277660168381,mareca strepera,A & C resident breeder and winter visitor,mareca strepera,558439,Mareca strepera,Gadwall
Falcated Duck,http://app.bto.org/birdfacts/results/bob1810.htm,Mareca falcata,Accidental,1-10 Records,,,3.1622776601683795,mareca falcata,A rare vagrant,mareca falcata,558440,Mareca falcata,Falcated Duck
Wigeon,http://app.bto.org/birdfacts/results/bob1790.htm,Mareca penelope,"Resident Breeder, Winter Visitor",100000 - 500000 Birds,WN,WIGEO,223606.7977499789,mareca penelope,,,558441,Mareca penelope,Eurasian Wigeon
American Wigeon,http://app.bto.org/birdfacts/results/bob1800.htm,Mareca americana,Scarce Visitor,10 - 100 Birds,AW,AMEWI,31.622776601683803,mareca americana,A scarce migrant,mareca americana,485176,Mareca americana,American Wigeon
Mallard,http://app.bto.org/birdfacts/results/bob1860.htm,Anas platyrhynchos,"Introduced/Resident Breeder, Winter Visitor",100000 - 500000 Pairs,MA,MALLA,223606.7977499789,anas platyrhynchos,"A & C resident breeder, winter visitor and naturalised releases",anas platyrhynchos,6930,Anas platyrhynchos,Mallard
American Black Duck,http://app.bto.org/birdfacts/results/bob1870.htm,Anas rubripes,Accidental,10 - 100 Records,BD,BLADU,31.622776601683803,anas rubripes,A rare vagrant,anas rubripes,6924,Anas rubripes,American Black Duck
Pintail,http://app.bto.org/birdfacts/results/bob1890.htm,Anas acuta,"Resident/Migrant Breeder, Winter Visitor",10000 - 100000 Birds,PT,PINTA,31622.776601683774,anas acuta,,,6933,Anas acuta,Northern Pintail
Teal,http://app.bto.org/birdfacts/results/bob1840.htm,Anas crecca,"Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,T.,TEAL.,3162.277660168381,anas crecca,,,6937,Anas crecca,Green-winged Teal
Green-winged Teal,http://app.bto.org/birdfacts/results/bob1842.htm,Anas carolinensis,Scarce Visitor,10 - 100 Birds,TA,GRWTE,31.622776601683803,anas carolinensis,A scarce migrant,anas carolinensis,123676,Anas crecca carolinensis,American Green-winged Teal
Red-crested Pochard,http://app.bto.org/birdfacts/results/bob1960.htm,Netta rufina,"Escaped Breeder, Scarce Visitor",500 - 1000 Birds,RQ,RECPO,707.1067811865472,netta rufina,A & C scarce migrant and introduced breeder,netta rufina,7122,Netta rufina,Red-crested Pochard
Canvasback,http://app.bto.org/birdfacts/results/bob1970.htm,Aythya valisineria,Accidental,1-10 Records,VB,,3.1622776601683795,aythya valisineria,A rare vagrant,aythya valisineria,7057,Aythya valisineria,Canvasback
Redhead,http://app.bto.org/birdfacts/results/bob1990.htm,Aythya americana,Accidental,1-10 Records,AZ,,3.1622776601683795,aythya americana,A rare vagrant,aythya americana,7056,Aythya americana,Redhead
Pochard,http://app.bto.org/birdfacts/results/bob1980.htm,Aythya ferina,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Birds,PO,POCHA,31622.776601683774,aythya ferina,,,7045,Aythya ferina,Common Pochard
Ferruginous Duck,http://app.bto.org/birdfacts/results/bob2020.htm,Aythya nyroca,Accidental,1-10 Birds,FD,FERDU,3.1622776601683795,aythya nyroca,A scarce migrant,aythya nyroca,7055,Aythya nyroca,Ferruginous Duck
Ring-necked Duck,http://app.bto.org/birdfacts/results/bob2000.htm,Aythya collaris,Scarce Visitor,10 - 100 Birds,NG,RINDU,31.622776601683803,aythya collaris,A scarce migrant,aythya collaris,7044,Aythya collaris,Ring-necked Duck
Tufted Duck,http://app.bto.org/birdfacts/results/bob2030.htm,Aythya fuligula,"Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,TU,TUFDU,31622.776601683774,aythya fuligula,A resident breeder and winter visitor,aythya fuligula,7046,Aythya fuligula,Tufted Duck
Scaup,http://app.bto.org/birdfacts/results/bob2040.htm,Aythya marila,"Scarce Breeder, Passage/Winter Visitor",1000 - 10000 Birds,SP,SCAUP,3162.277660168381,aythya marila,,,7047,Aythya marila,Greater Scaup
Lesser Scaup,http://app.bto.org/birdfacts/results/bob2050.htm,Aythya affinis,Scarce Visitor,1-10 Birds,AY,,3.1622776601683795,aythya affinis,A scarce vagrant,aythya affinis,7054,Aythya affinis,Lesser Scaup
Steller’s Eider,http://app.bto.org/birdfacts/results/bob2090.htm,Polysticta stelleri,Accidental,10 - 100 Records,ES,STEEI,31.622776601683803,polysticta stelleri,,,7164,Polysticta stelleri,Steller's Eider
King Eider,http://app.bto.org/birdfacts/results/bob2070.htm,Somateria spectabilis,Accidental,100-500 Records,KE,KINEI,223.606797749979,somateria spectabilis,A rare vagrant,somateria spectabilis,7030,Somateria spectabilis,King Eider
Eider,http://app.bto.org/birdfacts/results/bob2060.htm,Somateria mollissima,"Resident Breeder, Winter Visitor",10000 - 100000 Pairs,E.,EIDER,31622.776601683774,somateria mollissima,,,7024,Somateria mollissima,Common Eider
Harlequin Duck,http://app.bto.org/birdfacts/results/bob2110.htm,Histrionicus histrionicus,Accidental,10 - 100 Records,HQ,HARDU,31.622776601683803,histrionicus histrionicus,A rare vagrant,histrionicus histrionicus,7111,Histrionicus histrionicus,Harlequin Duck
Surf Scoter,http://app.bto.org/birdfacts/results/bob2140.htm,Melanitta perspicillata,Scarce Visitor,10 - 100 Birds,FS,SURSC,31.622776601683803,melanitta perspicillata,A scarce migrant,melanitta perspicillata,7036,Melanitta perspicillata,Surf Scoter
Velvet Scoter,http://app.bto.org/birdfacts/results/bob2151.htm,Melanitta fusca,Passage/Winter Visitor,1000 - 10000 Birds,VS,VELSC,3162.277660168381,melanitta fusca,A winter visitor,melanitta fusca,850858,Melanitta fusca,Velvet Scoter
White-winged Scoter,http://app.bto.org/birdfacts/results/bob2152.htm,Melanitta deglandi,Accidental,1-10 Records,,,3.1622776601683795,melanitta deglandi,A rare vagrant,melanitta deglandi,144222,Melanitta deglandi,White-winged Scoter
Common Scoter,http://app.bto.org/birdfacts/results/bob2130.htm,Melanitta nigra,"Resident/Migrant Breeder, Passage/Winter Visitor",100000 - 500000 Birds,CX,COMSC,223606.7977499789,melanitta nigra,A resident breeder and winter visitor,melanitta nigra,144221,Melanitta nigra,Common Scoter
Black Scoter,http://app.bto.org/birdfacts/results/bob2132.htm,Melanitta americana,Accidental,10 - 100 Records,DX,BLASC,31.622776601683803,melanitta americana,A rare vagrant,melanitta americana,144220,Melanitta americana,Black Scoter
Long-tailed Duck,http://app.bto.org/birdfacts/results/bob2120.htm,Clangula hyemalis,"Scarce Breeder, Winter Visitor",10000 - 100000 Birds,LN,LOTDU,31622.776601683774,clangula hyemalis,A winter visitor and occasional breeder,clangula hyemalis,7170,Clangula hyemalis,Long-tailed Duck
Bufflehead,http://app.bto.org/birdfacts/results/bob2160.htm,Bucephala albeola,Accidental,10 - 100 Records,VH,BUFFL,31.622776601683803,bucephala albeola,A rare vagrant,bucephala albeola,6993,Bucephala albeola,Bufflehead
Goldeneye,http://app.bto.org/birdfacts/results/bob2180.htm,Bucephala clangula,"Resident Breeder, Passage/Winter Visitor",100-500 Females,GN,GOLDE,223.606797749979,bucephala clangula,,,6990,Bucephala clangula,Common Goldeneye
Barrow’s Goldeneye,http://app.bto.org/birdfacts/results/bob2170.htm,Bucephala islandica,Accidental,1-10 Records,VG,BRWGO,3.1622776601683795,bucephala islandica,,,6994,Bucephala islandica,Barrow's Goldeneye
Smew,http://app.bto.org/birdfacts/results/bob2200.htm,Mergellus albellus,Winter Visitor,100-500 Birds,SY,SMEW.,223.606797749979,mergellus albellus,A winter visitor,mergellus albellus,7192,Mergellus albellus,Smew
Hooded Merganser,http://app.bto.org/birdfacts/results/bob2190.htm,Lophodytes cucullatus,Accidental,1-10 Records,,,3.1622776601683795,lophodytes cucullatus,A rare vagrant,lophodytes cucullatus,7109,Lophodytes cucullatus,Hooded Merganser
Goosander,http://app.bto.org/birdfacts/results/bob2230.htm,Mergus merganser,"Resident Breeder, Winter Visitor",1000 - 10000 Pairs,GD,GOOSA,3162.277660168381,mergus merganser,A resident breeder and winter visitor,mergus merganser,512408,Mergus merganser merganser,Goosander
Red-breasted Merganser,http://app.bto.org/birdfacts/results/bob2210.htm,Mergus serrator,"Resident Breeder, Winter Visitor",1000 - 10000 Pairs,RM,REBME,3162.277660168381,mergus serrator,A resident breeder and winter visitor,mergus serrator,6996,Mergus serrator,Red-breasted Merganser
Ruddy Duck,http://app.bto.org/birdfacts/results/bob2250.htm,Oxyura jamaicensis,Introduced Breeder,10 - 100 Birds,RY,RUDDU,31.622776601683803,oxyura jamaicensis,C: introduced species currently subject to an eradication programme,oxyura jamaicensis,850859,Oxyura jamaicensis,Ruddy Duck
Common Nighthawk,http://app.bto.org/birdfacts/results/bob7860.htm,Chordeiles minor,Accidental,10 - 100 Records,,COMNI,31.622776601683803,chordeiles minor,A rare vagrant,chordeiles minor,19577,Chordeiles minor,Common Nighthawk
Red-necked Nightjar,http://app.bto.org/birdfacts/results/bob7790.htm,Caprimulgus ruficollis,Not Recorded since 1856, ,,RENNI,,caprimulgus ruficollis,A rare vagrant,caprimulgus ruficollis,19482,Caprimulgus ruficollis,Red-necked Nightjar
Nightjar,http://app.bto.org/birdfacts/results/bob7780.htm,Caprimulgus europaeus,"Migrant Breeder, Passage Visitor",1000 - 10000 Males,NJ,NIJAR,3162.277660168381,caprimulgus europaeus,,,19410,Caprimulgus europaeus,Eurasian Nightjar
Egyptian Nightjar,http://app.bto.org/birdfacts/results/bob7810.htm,Caprimulgus aegyptius,Accidental,1-10 Records,,EGYNI,3.1622776601683795,caprimulgus aegyptius,A rare vagrant,caprimulgus aegyptius,19417,Caprimulgus aegyptius,Egyptian Nightjar
White-throated Needletail,http://app.bto.org/birdfacts/results/bob7920.htm,Hirundapus caudacutus,Accidental,1-10 Records,NI,NETSW,3.1622776601683795,hirundapus caudacutus,,,6852,Hirundapus caudacutus,White-throated Needletail
Chimney Swift,http://app.bto.org/birdfacts/results/bob7900.htm,Chaetura pelagica,Accidental,10 - 100 Records,,CHISW,31.622776601683803,chaetura pelagica,A rare vagrant,chaetura pelagica,6571,Chaetura pelagica,Chimney Swift
Alpine Swift,http://app.bto.org/birdfacts/results/bob7980.htm,Tachymarptis melba,Scarce Visitor,10 - 100 Birds,AI,ALPSW,31.622776601683803,tachymarptis melba,A scarce migrant,apus melba,144634,Apus melba,Alpine Swift
Swift,http://app.bto.org/birdfacts/results/bob7950.htm,Apus apus,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,SI,SWIFT,31622.776601683774,apus apus,,,6638,Apus apus,Common Swift
Pallid Swift,http://app.bto.org/birdfacts/results/bob7960.htm,Apus pallidus,Accidental,10 - 100 Records,II,PALSW,31.622776601683803,apus pallidus,A rare vagrant,apus pallidus,6643,Apus pallidus,Pallid Swift
Pacific Swift,http://app.bto.org/birdfacts/results/bob7970.htm,Apus pacificus,Accidental,1-10 Records,,PACSW,3.1622776601683795,apus pacificus,A rare vagrant,apus pacificus,202491,Apus pacificus,Pacific Swift
Little Swift,http://app.bto.org/birdfacts/results/bob8000.htm,Apus affinis,Accidental,10 - 100 Records,,LITSW,31.622776601683803,apus affinis,A rare vagrant,apus affinis,6612,Apus affinis,Little Swift
White-rumped Swift,http://app.bto.org/birdfacts/results/bob7990.htm,Apus caffer,Accidental,1-10 Records,,,3.1622776601683795,apus caffer,A rare vagrant,apus caffer,6619,Apus caffer,White-rumped Swift
Great Bustard,http://app.bto.org/birdfacts/results/bob4460.htm,Otis tarda,"Re-introduced Breeder, Accidental",10 - 100 Records,US,GREBU,31.622776601683803,otis tarda,A rare vagrant and recently reintroduced breeding resident species,otis tarda,77,Otis tarda,Great Bustard
Macqueen’s Bustard,http://app.bto.org/birdfacts/results/bob4442.htm,Chlamydotis macqueenii,Accidental,1-10 Records,,,3.1622776601683795,chlamydotis macqueenii,,,144471,Chlamydotis macqueenii,Macqueen's Bustard
Little Bustard,http://app.bto.org/birdfacts/results/bob4420.htm,Tetrax tetrax,Accidental,10 - 100 Records,,LITBS,31.622776601683803,tetrax tetrax,A rare vagrant,tetrax tetrax,132,Tetrax tetrax,Little Bustard
Great Spotted Cuckoo,http://app.bto.org/birdfacts/results/bob7160.htm,Clamator glandarius,Accidental,10 - 100 Records,UK,GRSCU,31.622776601683803,clamator glandarius,A rare vagrant,clamator glandarius,1787,Clamator glandarius,Great Spotted Cuckoo
Yellow-billed Cuckoo,http://app.bto.org/birdfacts/results/bob7280.htm,Coccyzus americanus,Accidental,10 - 100 Records,,YEBCU,31.622776601683803,coccyzus americanus,A rare vagrant,coccyzus americanus,1965,Coccyzus americanus,Yellow-billed Cuckoo
Black-billed Cuckoo,http://app.bto.org/birdfacts/results/bob7270.htm,Coccyzus erythropthalmus,Accidental,10 - 100 Records,,BLBCU,31.622776601683803,coccyzus erythropthalmus,A rare vagrant,coccyzus erythropthalmus,1960,Coccyzus erythropthalmus,Black-billed Cuckoo
Cuckoo,http://app.bto.org/birdfacts/results/bob7240.htm,Cuculus canorus,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,CK,CUCKO,31622.776601683774,cuculus canorus,,,1907,Cuculus canorus,Common Cuckoo
Pallas’s Sandgrouse,http://app.bto.org/birdfacts/results/bob6630.htm,Syrrhaptes paradoxus,"Accidental, Has Bred",1-10 Records,,PALSA,3.1622776601683795,syrrhaptes paradoxus,,,117119,Syrrhaptes paradoxus,Pallas's Sandgrouse
Rock Dove,http://app.bto.org/birdfacts/results/bob6650.htm,Columba livia,Resident Breeder,500000 - 1E06 Pairs,DV,ROCDO,707106.7811865465,columba livia,,,3017,Columba livia,Rock Pigeon
Stock Dove,http://app.bto.org/birdfacts/results/bob6680.htm,Columba oenas,"Resident Breeder, Passage/Winter Visitor",100000 - 500000 Territories,SD,STODO,223606.7977499789,columba oenas,A resident breeding species,columba oenas,3033,Columba oenas,Stock Dove
Woodpigeon,http://app.bto.org/birdfacts/results/bob6700.htm,Columba palumbus,"Resident Breeder, Winter Visitor",5.3E06 Pairs,WP,WOODP,5300000.0,columba palumbus,,,3048,Columba palumbus,Common Wood-Pigeon
Turtle Dove,http://app.bto.org/birdfacts/results/bob6870.htm,Streptopelia turtur,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,TD,TURDO,31622.776601683774,streptopelia turtur,A breeding summer visitor,streptopelia turtur,2938,Streptopelia turtur,European Turtle Dove
Oriental Turtle Dove,http://app.bto.org/birdfacts/results/bob6890.htm,Streptopelia orientalis,Accidental,10 - 100 Records,,RUTDO,31.622776601683803,streptopelia orientalis,A rare vagrant,streptopelia orientalis,2927,Streptopelia orientalis,Oriental Turtle Dove
Collared Dove,http://app.bto.org/birdfacts/results/bob6840.htm,Streptopelia decaocto,Resident Breeder,500000 - 1E06 Pairs,CD,COLDO,707106.7811865465,streptopelia decaocto,A resident breeding species,streptopelia decaocto,2969,Streptopelia decaocto,Eurasian Collared-Dove
Mourning Dove,http://app.bto.org/birdfacts/results/bob6950.htm,Zenaida macroura,Accidental,1-10 Records,,,3.1622776601683795,zenaida macroura,A rare vagrant,zenaida macroura,3454,Zenaida macroura,Mourning Dove
Water Rail,http://app.bto.org/birdfacts/results/bob4070.htm,Rallus aquaticus,"Resident Breeder, Passage/Winter Visitor",1000 - 10000 Territories,WA,WATRA,3162.277660168381,rallus aquaticus,A resident breeding species,rallus aquaticus,513926,Rallus aquaticus,Water Rail
Corncrake,http://app.bto.org/birdfacts/results/bob4210.htm,Crex crex,"Migrant Breeder, Passage Visitor",1000 - 10000 Males,CE,CORNC,3162.277660168381,crex crex,,,443,Crex crex,Corn Crake
Little Crake,http://app.bto.org/birdfacts/results/bob4100.htm,Porzana parva,Accidental,10 - 100 Records,JC,LITCR,31.622776601683803,porzana parva,A rare vagrant,porzana parva,508919,Zapornia parva,Little Crake
Baillon’s Crake,http://app.bto.org/birdfacts/results/bob4110.htm,Porzana pusilla,"Occasional Breeder, Accidental",10 - 100 Records,VC,BAICR,31.622776601683803,porzana pusilla,,,508920,Zapornia pusilla,Baillon's Crake
Spotted Crake,http://app.bto.org/birdfacts/results/bob4080.htm,Porzana porzana,"Scarce Breeder, Passage Visitor",10 - 100 Males,AK,SPOCR,31.622776601683803,porzana porzana,A scarce breeding summer visitor,porzana porzana,178,Porzana porzana,Spotted Crake
Sora,http://app.bto.org/birdfacts/results/bob4090.htm,Porzana carolina,Accidental,10 - 100 Records,JR,SORA.,31.622776601683803,porzana carolina,A rare vagrant,porzana carolina,162,Porzana carolina,Sora
Western Swamphen,http://app.bto.org/birdfacts/results/bob4270.htm,Porphyrio porphyrio,Accidental,1-10 Records,,PURSW,3.1622776601683795,porphyrio porphyrio,,,475028,Porphyrio porphyrio,Western Swamphen
Allen’s Gallinule,http://app.bto.org/birdfacts/results/bob4250.htm,Porphyrio alleni,Accidental,1-10 Records,,ALLGA,3.1622776601683795,porphyrio alleni,,,522,Porphyrio alleni,Allen's Gallinule
American Purple Gallinule,http://app.bto.org/birdfacts/results/bob4260.htm,Porphyrio martinica,Accidental,1-10 Records,,AMPGA,3.1622776601683795,porphyrio martinica,A rare vagrant,porphyrio martinicus,519,Porphyrio martinica,Purple Gallinule
Moorhen,http://app.bto.org/birdfacts/results/bob4240.htm,Gallinula chloropus,"Resident Breeder, Winter Visitor",100000 - 500000 Territories,MH,MOORH,223606.7977499789,gallinula chloropus,,,201282,Gallinula chloropus,Eurasian Moorhen
Coot,http://app.bto.org/birdfacts/results/bob4290.htm,Fulica atra,"Resident Breeder, Winter Visitor",10000 - 100000 Pairs,CO,COOT.,31622.776601683774,fulica atra,A resident breeding species,fulica atra,482,Fulica atra,Eurasian Coot
American Coot,http://app.bto.org/birdfacts/results/bob4300.htm,Fulica americana,Accidental,1-10 Records,AO,AMECO,3.1622776601683795,fulica americana,A rare vagrant,fulica americana,473,Fulica americana,American Coot
Sandhill Crane,http://app.bto.org/birdfacts/results/bob4360.htm,Antigone canadensis,Accidental,1-10 Records,,SANCR,3.1622776601683795,antigone canadensis,A rare vagrant,grus canadensis,508048,Antigone canadensis,Sandhill Crane
Crane,http://app.bto.org/birdfacts/results/bob4330.htm,Grus grus,"Resident/Re-introduced Breeder, Passage Visitor",10 - 100 Pairs,AN,CRANE,31.622776601683803,grus grus,,,41,Grus grus,Common Crane
Little Grebe,http://app.bto.org/birdfacts/results/bob70.htm,Tachybaptus ruficollis,"Migrant/Resident Breeder, Winter Visitor",1000 - 10000 Pairs,LG,LITGR,3162.277660168381,tachybaptus ruficollis,A resident breeder and winter visitor,tachybaptus ruficollis,4237,Tachybaptus ruficollis,Little Grebe
Pied-billed Grebe,http://app.bto.org/birdfacts/results/bob60.htm,Podilymbus podiceps,Accidental,10 - 100 Records,PJ,PIBGR,31.622776601683803,podilymbus podiceps,A rare vagrant,podilymbus podiceps,4246,Podilymbus podiceps,Pied-billed Grebe
Red-necked Grebe,http://app.bto.org/birdfacts/results/bob100.htm,Podiceps grisegena,"Scarce Breeder, Winter Visitor",10 - 100 Birds,RX,RENGR,31.622776601683803,podiceps grisegena,"A winter visitor, has bred",podiceps grisegena,4224,Podiceps grisegena,Red-necked Grebe
